Well,Day,SpikeNumber,MeanFiringRate
A1,DIV_12,19447,4.037998
A2,DIV_12,11944,2.480066
A3,DIV_12,27978,5.809385
A4,DIV_12,16465,3.418812
A5,DIV_12,35002,7.267857
A6,DIV_12,23864,4.95515
A7,DIV_12,33672,6.991694
A8,DIV_12,7230,1.501246
B1,DIV_12,17486,3.630814
B2,DIV_12,14389,2.987749
B3,DIV_12,2448,0.508306
B4,DIV_12,49209,10.217816
B6,DIV_12,42058,8.732973
B7,DIV_12,39995,8.30461
B8,DIV_12,9625,1.998547
A1,DIV_13,18493,3.839909
A2,DIV_13,13323,2.766404
A3,DIV_13,27969,5.807517
A4,DIV_13,22157,4.600706
A5,DIV_13,55777,11.581603
A6,DIV_13,32086,6.662375
A7,DIV_13,44478,9.235465
A8,DIV_13,7314,1.518688
B1,DIV_13,25027,5.196636
B2,DIV_13,11772,2.444352
B3,DIV_13,4274,0.887458
B4,DIV_13,58216,12.08804
B6,DIV_13,39380,8.17691
B7,DIV_13,38011,7.89265
B8,DIV_13,13349,2.771802
A1,DIV_20,37947,7.827351
A2,DIV_20,48690,10.043317
A3,DIV_20,51090,10.538366
A4,DIV_20,40134,8.278465
A5,DIV_20,99119,20.445338
A6,DIV_20,48020,9.905116
A7,DIV_20,46619,9.61613
A8,DIV_20,23504,4.848185
B1,DIV_20,47422,9.781766
B2,DIV_20,32267,6.655734
B3,DIV_20,23766,4.902228
B4,DIV_20,142311,29.354579
B6,DIV_20,79560,16.410891
B7,DIV_20,58409,12.048061
B8,DIV_20,49987,10.31085
